,City,Lng,Lat,Temp_Max,Humidity,Cloudiness,Wind_Speed,Country,Date
355,Rabo de Peixe,-25.5833,37.8,288.15,88,40,4.63,PT,1619288862
356,Sinaloa,-107.5,25.0,306.48,29,1,3.09,MX,1619288564
357,Emerald,148.1667,-23.5333,290.15,55,75,3.6,AU,1619288565
358,Tomatlán,-105.25,19.9333,306.87,25,78,3.58,MX,1619288566
359,Marabba,32.1833,12.35,305.52,36,91,5.3,SD,1619288566
360,Impfondo,18.0667,1.6381,299.25,68,98,1.56,CG,1619288567
361,Komatipoort,31.9548,-25.4332,291.48,91,4,1.88,ZA,1619288402
362,Meïganga,14.3,6.5167,292.01,96,88,1.02,CM,1619288568
363,Nuuk,-51.7216,64.1835,277.15,70,20,3.6,GL,1619288568
364,Digapahandi,84.5833,19.3667,300.62,50,1,2.22,IN,1619288569
365,Chengzhong,113.55,30.95,287.15,100,100,3.0,CN,1619288569
366,Bulawayo,28.5833,-20.15,290.79,34,10,2.61,ZW,1619288328
367,Pochutla,-96.4661,15.7432,307.04,51,40,7.72,MX,1619288570
368,Fuxin,121.6589,42.0156,280.27,51,39,2.7,CN,1619288571
369,Sur,59.5289,22.5667,304.12,38,0,4.56,OM,1619288571
370,Riyadh,46.7219,24.6877,304.15,16,0,4.59,SA,1619288572
371,Ishcherskaya,45.1264,43.7153,286.15,82,20,3.0,RU,1619288572
372,Belaya Gora,146.4167,68.5333,250.51,100,95,1.72,RU,1619288868
373,Oranjemund,16.4333,-28.55,288.74,89,9,2.36,NA,1619288573
374,Poquoson,-76.3458,37.1224,292.59,39,20,3.6,US,1619288364
375,Baruun-Urt,113.2792,46.6806,279.14,18,100,5.33,MN,1619288574
376,Mabaruma,-59.7833,8.2,301.06,74,83,3.41,GY,1619288575
377,Bourail,165.4833,-21.5667,296.31,89,100,2.83,NC,1619288575
378,High Level,-117.136,58.5169,274.15,55,75,3.6,CA,1619288870
379,Khed,73.3833,17.7167,298.48,64,10,1.65,IN,1619288576
380,Coyhaique,-72.0662,-45.5752,286.15,67,75,1.54,CL,1619288557
381,Fare,-151.0167,-16.7,299.47,73,100,2.8,PF,1619288577
382,Bosaso,49.1816,11.2842,302.58,68,87,2.24,SO,1619288577
383,Cockburn Town,-71.1419,21.4612,301.15,65,40,6.17,TC,1619288872
384,Maués,-57.7186,-3.3836,303.26,70,81,1.36,BR,1619288578
385,Beira,34.8389,-19.8436,296.15,83,0,3.94,MZ,1619288579
386,Pevek,170.3133,69.7008,264.88,88,100,1.07,RU,1619288579
387,Usinsk,57.5281,65.9939,277.08,88,91,4.34,RU,1619288580
388,Ust-Nera,143.2,64.5667,251.24,91,17,0.51,RU,1619288580
389,Zaragoza,-0.8773,41.6561,291.48,67,40,5.14,ES,1619288322
390,Stawell,142.7667,-37.05,281.47,93,65,0.75,AU,1619288581
391,Bubaque,-15.8333,11.2833,298.9,70,6,9.71,GW,1619288581
392,Manaquiri,-60.35,-3.3167,302.15,65,75,3.6,BR,1619288582
393,Oruro,-67.15,-17.9833,287.56,22,17,8.06,BO,1619288583
394,Ilebo,20.5833,-4.3167,295.65,97,98,0.88,CD,1619288583
395,Tiznit Province,-9.5,29.5833,290.46,58,34,4.78,MA,1619288568
396,Gigmoto,124.39,13.7796,298.18,86,49,2.57,PH,1619288584
397,Ulaangom,92.0667,49.9811,274.54,38,67,4.61,MN,1619288585
398,Saint Anthony,-93.218,45.0205,278.71,65,90,6.69,US,1619288877
399,Gorin,136.6669,51.1983,272.4,62,100,3.33,RU,1619288586
400,Mânăstireni,23.0833,46.7667,282.15,49,0,3.09,RO,1619288586
401,Borovoy,86.0833,55.4333,275.15,38,0,3.0,RU,1619288587
402,Dingle,122.6711,10.9995,297.8,84,78,0.63,PH,1619288587
403,Kwang Binh,106.6,17.4833,298.97,92,72,3.25,VN,1619288879
404,Dromolaxia,33.586,34.8761,295.15,35,0,2.06,CY,1619288589
405,Sturgis,-85.4192,41.7992,283.15,93,90,1.54,US,1619288589
406,La Ronge,-105.2842,55.1001,270.15,46,53,2.57,CA,1619288880
407,Ambilobe,49.05,-13.2,296.81,92,31,1.41,MG,1619288378
408,Tiksi,128.8694,71.6872,272.48,93,100,5.42,RU,1619288590
409,Avera,-82.5271,33.194,292.15,97,90,3.6,US,1619288591
410,Adrar,-10.0711,20.5022,308.86,9,2,5.82,MR,1619288591
411,Suyan,125.3853,6.0603,298.1,89,66,0.36,PH,1619288592
412,Mazara del Vallo,12.588,37.6641,289.15,82,0,4.12,IT,1619288883
413,Santa Barbara,-120.0343,34.7333,289.82,71,90,2.57,US,1619288883
414,Zaozyornoye,33.2787,45.1582,283.15,54,50,3.8,UA,1619288593
415,Valparaíso,-71.6273,-33.0393,294.15,52,0,1.54,CL,1619288594
416,Baijiantan,85.1833,45.6333,280.15,30,12,2.23,CN,1619288594
417,San Luis,-66.3356,-33.295,293.36,41,25,4.7,AR,1619288736
418,Khovd,91.6419,48.0056,270.32,21,4,7.72,MN,1619288595
419,Sholokhove,34.0312,47.6945,279.91,52,49,3.38,UA,1619288595
420,Arrondissement de Pontarlier,6.25,46.8333,288.15,45,50,0.89,FR,1619288596
421,Colares,-9.4469,38.7992,291.48,82,20,4.63,PT,1619288596
422,Jacareacanga,-57.7528,-6.2222,306.65,45,71,1.01,BR,1619288597
423,Quesnel,-122.5029,52.9999,281.15,34,1,4.12,CA,1619288597
424,Jinchang,102.1739,38.4953,281.62,45,64,0.92,CN,1619288598
425,Moussoro,16.4901,13.6408,309.22,9,50,4.32,TD,1619288599
426,Bandarbeyla,50.8122,9.4942,301.83,75,60,4.28,SO,1619288534
427,Port Blair,92.75,11.6667,300.89,75,35,3.18,IN,1619288888
428,Mount Gambier,140.7667,-37.8333,283.15,100,75,3.6,AU,1619288889
429,Baykit,96.37,61.67,273.34,96,100,1.06,RU,1619288600
430,Bilma,12.9164,18.6853,308.48,8,12,4.66,NE,1619288601
431,Suluktu,69.57,39.9337,290.15,36,20,2.0,KG,1619288601
432,Puerto Madryn,-65.0385,-42.7692,289.44,39,2,2.32,AR,1619288890
433,Thessalon,-83.5666,46.2501,288.15,31,75,5.14,CA,1619288602
434,Haverfordwest,-4.9691,51.8017,287.59,68,18,6.71,GB,1619288603
435,Mount Isa,139.5,-20.7333,294.15,30,8,2.57,AU,1619288891
436,Svetlaya,138.3297,46.5389,275.99,75,71,3.81,RU,1619288603
437,Orangeburg,-80.8557,33.4918,291.48,94,90,7.72,US,1619288604
438,Sayyan,44.3244,15.1718,291.5,25,92,4.16,YE,1619288604
439,Andenes,16.1194,69.3143,275.37,69,20,5.14,NO,1619288605
440,Comodoro Rivadavia,-67.5,-45.8667,290.15,51,0,4.12,AR,1619288893
441,Tamworth,-1.6959,52.634,288.15,41,0,5.14,GB,1619288606
442,Toccoa,-83.3324,34.5773,285.15,100,90,3.6,US,1619288606
443,Bāfq,55.4107,31.6128,297.71,35,98,6.35,IR,1619288607
444,Souillac,57.5167,-20.5167,299.15,83,75,7.72,MU,1619288495
445,Hambantota,81.1185,6.1241,300.06,81,60,1.79,LK,1619288608
446,Kūhdasht,47.6061,33.535,292.99,16,2,5.18,IR,1619288608
447,Maracás,-40.4308,-13.4411,296.84,64,68,2.08,BR,1619288609
448,Dilla,38.31,6.41,291.44,88,100,2.54,ET,1619288610
449,Durant,-96.3708,33.994,290.15,82,90,5.14,US,1619288610
450,Petropavlovsk-Kamchatskiy,158.6483,53.0452,274.15,100,90,3.0,RU,1619288611
451,Nemuro,145.575,43.3236,276.12,95,100,5.94,JP,1619288611
452,Manavālakurichi,77.3,8.1333,303.15,74,40,1.03,IN,1619288612
453,Brookhaven,-90.4407,31.5791,298.71,81,3,6.42,US,1619288612
454,Ahipara,173.1667,-35.1667,288.18,82,69,3.93,NZ,1619288484
455,Lompoc,-120.4579,34.6391,286.15,67,33,3.09,US,1619288613
456,Sakaraha,44.5333,-22.9,295.79,69,36,1.95,MG,1619288614
457,Pangody,74.4859,65.85,272.17,89,98,1.87,RU,1619288614
458,Santo Antônio do Içá,-67.9397,-3.1022,303.12,75,41,1.25,BR,1619288899
459,Prieska,22.7474,-29.6641,295.84,22,11,2.93,ZA,1619288615
460,Shimoda,138.95,34.6667,284.26,74,20,1.34,JP,1619288615
461,Emba,58.1442,48.8264,281.41,76,71,3.75,KZ,1619288616
462,Saint George,-113.5841,37.1041,299.26,16,1,4.12,US,1619288847
463,Caravelas,-39.2481,-17.7125,300.61,67,46,2.33,BR,1619288617
464,Palana,159.9667,59.1167,269.4,97,100,4.28,RU,1619288617
465,Kralendijk,-68.2667,12.15,303.15,62,20,10.8,BQ,1619288901
466,San Vicente,-54.1333,-26.6167,289.51,99,100,1.07,AR,1619288902
467,Kualakapuas,114.3876,-3.0091,299.15,83,90,1.03,ID,1619288619
468,Erenhot,111.9767,43.6475,286.1,33,100,8.22,CN,1619288619
469,Touros,-35.4608,-5.1989,302.15,70,40,7.2,BR,1619288620
470,Coquimbo,-71.3436,-29.9533,291.15,68,0,6.17,CL,1619288611
471,Palapye,27.1251,-22.546,294.12,26,0,1.68,BW,1619288620
472,Clyde River,-68.5914,70.4692,265.15,93,75,4.12,CA,1619288904
473,Hidalgo,-99.0,20.5,300.85,17,99,1.82,MX,1619288621
474,Pedernales,-71.744,18.0384,303.71,52,16,5.07,DO,1619288622
475,Harstad,16.5293,68.799,275.37,85,69,6.26,NO,1619288622
476,Koulamoutou,12.4736,-1.1303,294.86,97,97,0.3,GA,1619288623
477,Te Anau,167.7167,-45.4167,280.97,95,79,3.24,NZ,1619288906
478,Labuhan,112.2051,-6.8844,298.58,83,63,2.6,ID,1619288624
479,Bālāghāt,80.1833,21.8,303.4,18,53,1.04,IN,1619288624
480,Kristinestad,21.376,62.2743,273.46,95,99,9.64,FI,1619288625
481,Griffith,-87.4237,41.5284,284.82,87,90,0.48,US,1619288625
482,Taseyevo,94.8978,57.2169,273.67,99,100,1.05,RU,1619288626
483,Florianópolis,-48.5012,-27.6146,299.15,65,20,2.06,BR,1619288626
484,Barreirinha,-57.07,-2.7933,305.09,59,86,0.99,BR,1619288627
485,Machico,-16.7667,32.7,292.15,59,20,3.09,PT,1619288627
486,Sabha,14.4283,27.0377,301.6,20,2,6.42,LY,1619288628
487,Graaff-Reinet,24.5308,-32.2522,293.0,32,68,1.13,ZA,1619288628
488,Beringovskiy,179.3167,63.05,271.7,97,95,2.11,RU,1619288629
489,Gunjur,-16.7339,13.2019,299.15,65,47,5.66,GM,1619288629
490,Marawi,124.2928,7.9986,298.15,89,57,3.13,PH,1619288630
491,Moroni,43.2551,-11.7022,299.31,79,43,2.62,KM,1619288398
492,Huilong,121.655,31.8111,291.48,93,100,2.49,CN,1619288631
493,Fortuna,-124.1573,40.5982,285.37,82,75,3.1,US,1619288631
494,Itoman,127.6694,26.1247,293.15,83,20,3.6,JP,1619288632
495,Forsytheganj,29.7333,52.6333,275.02,73,56,3.77,BY,1619288632
496,Dryden,-92.7503,49.7833,275.15,32,1,5.14,CA,1619288633
497,Presidencia Roque Sáenz Peña,-60.4388,-26.7852,295.37,92,100,0.45,AR,1619288913
498,Meadow Lake,-106.5436,34.8014,294.26,22,1,3.6,US,1619288913
499,Cradock,25.6192,-32.1642,289.92,29,78,1.89,ZA,1619288634
500,Dawei,98.2,14.0833,299.05,89,97,0.22,MM,1619288635
501,Swift Current,-107.8014,50.2834,278.15,28,20,4.63,CA,1619288619
502,Barra do Garças,-52.2567,-15.89,306.15,35,0,0.97,BR,1619288915
503,Hohhot,111.6522,40.8106,285.15,58,0,3.0,CN,1619288636
504,Sechura,-80.8222,-5.5569,300.01,56,19,5.45,PE,1619288636
505,Luleå,22.1547,65.5842,273.15,80,90,7.2,SE,1619288637
506,Dicabisagan,122.4157,17.0818,297.65,85,84,2.68,PH,1619288637
507,Aktau,51.2,43.65,289.15,55,0,4.0,KZ,1619288638
508,Husavik,-17.3389,66.0449,284.15,62,0,4.63,IS,1619288535
509,Penzance,-5.5371,50.1186,284.26,62,40,12.17,GB,1619288639
510,Placerville,-120.7986,38.7296,288.15,54,90,2.06,US,1619288639
511,Hervey Bay,152.8535,-25.2986,289.26,85,0,0.45,AU,1619288918
512,Baculin,126.5842,7.4525,299.04,80,99,2.49,PH,1619288640
513,São Raimundo Nonato,-42.6994,-9.0153,307.04,37,47,3.68,BR,1619288919
514,Narón,-8.1528,43.5167,291.15,77,20,1.03,ES,1619288641
515,Domžale,14.5937,46.1377,287.15,38,0,2.06,SI,1619288641
516,Atar,-13.0499,20.5169,308.97,9,0,7.25,MR,1619288642
517,São Raimundo das Mangabeiras,-45.4811,-7.0219,302.88,65,90,2.22,BR,1619288920
518,Rūdbār,62.6,30.15,299.8,7,0,3.53,AF,1619288643
519,Lebedyn,34.4849,50.5852,276.01,65,44,3.83,UA,1619288643
520,Half Moon Bay,-122.4286,37.4636,289.82,62,75,1.54,US,1619288662
521,Vilya,42.2089,55.2456,277.03,89,100,5.17,RU,1619288352
522,Jérémie,-74.1167,18.65,300.39,70,21,0.74,HT,1619288644
523,Tsuyama,134.0,35.05,285.93,88,79,1.06,JP,1619288645
524,Baharly,57.4316,38.4362,296.14,47,100,3.44,TM,1619288645
525,Litovko,135.1742,49.2361,274.04,51,56,3.82,RU,1619288646
526,Collie,116.15,-33.3667,284.26,89,0,0.55,AU,1619288646
527,Palembang,104.7458,-2.9167,297.2,91,100,0.88,ID,1619288647
528,Newport,-2.9984,51.5877,289.15,41,25,6.69,GB,1619288635
529,Plainview,-73.4673,40.7765,294.26,26,1,8.75,US,1619288648
530,Matagami,-77.6328,49.7502,273.15,74,90,6.17,CA,1619288648
531,Wittlich,6.8833,49.9833,285.15,43,1,5.14,DE,1619288649
532,Brownsville,-97.4975,25.9018,307.15,29,1,7.72,US,1619288649
533,Columbus,-82.9988,39.9612,287.15,44,90,4.63,US,1619288401
534,Andrelândia,-44.3092,-21.7397,297.4,42,0,4.02,BR,1619288650
535,Atasū,71.6433,48.6814,278.62,27,100,5.27,KZ,1619288651
536,Pakhtakoron,68.7466,40.1571,291.3,32,69,2.11,TJ,1619288651
537,Banda Aceh,95.3222,5.5577,299.92,74,100,4.46,ID,1619288626
538,Harrison,-89.0436,30.4091,300.15,78,75,5.14,US,1619288439
539,Poum,164.0167,-20.2333,298.86,81,97,6.35,NC,1619288512
540,Fukuechō,128.8419,32.6881,289.68,80,13,5.17,JP,1619288653
541,Sinnamary,-52.95,5.3833,298.94,86,100,5.38,GF,1619288653
542,San Martín,-68.4681,-33.081,293.15,52,75,3.6,AR,1619288928
543,Pinega,43.3936,64.7001,283.34,61,96,3.61,RU,1619288654
544,Craig,-107.5464,40.5153,289.15,14,1,8.23,US,1619288654
545,Tam Ky,108.4833,15.5667,300.15,94,40,1.03,VN,1619288929
546,Yar-Sale,70.8333,66.8333,270.39,93,94,1.66,RU,1619288655
547,Tres Arroyos,-60.2798,-38.3739,290.37,47,15,7.67,AR,1619288930
548,Evensk,159.2333,61.95,265.37,80,100,4.83,RU,1619288656
549,Kudahuvadhoo,72.8944,2.6708,301.73,65,12,3.54,MV,1619288657
