,City,Lng,Lat,Temp_Max,Humidity,Cloudiness,Wind_Speed,Country,Date
80,Vaini,-175.2,-21.2,294.15,100,20,2.78,TO,1619288432
81,Iqaluit,-68.5145,63.7506,275.15,75,75,2.06,CA,1619288206
82,Hermanus,19.2345,-34.4187,289.82,81,98,0.89,ZA,1619288433
83,Nioro,-15.75,13.35,310.98,12,28,4.31,GM,1619288433
84,Saint-Philippe,55.7679,-21.3585,299.15,83,75,12.86,RE,1619288434
85,Byron Bay,153.6167,-28.65,285.93,94,83,2.5,AU,1619288533
86,Laas,10.7002,46.6166,293.15,35,0,2.57,IT,1619288435
87,Chokurdakh,147.9167,70.6333,247.02,98,15,1.72,RU,1619288435
88,Torbay,-52.7314,47.6666,285.15,35,40,11.32,CA,1619288436
89,Nome,-165.4064,64.5011,274.15,75,20,1.62,US,1619288436
90,Kiryat Gat,34.7642,31.61,294.26,100,5,0.87,IL,1619288437
91,Mendi,143.6513,-6.1761,285.56,96,94,1.35,PG,1619288437
92,Tuatapere,167.6833,-46.1333,283.15,76,88,2.68,NZ,1619288438
93,Villazón,-65.5942,-22.0866,287.18,14,5,11.06,BO,1619288438
94,Ponta do Sol,-17.1,32.6667,292.15,59,20,3.09,PT,1619288770
95,Vardø,31.1107,70.3705,273.89,91,100,10.15,NO,1619288439
96,Esperance,121.9,-33.8667,288.15,77,88,5.66,AU,1619288440
97,Zhangye,100.4517,38.9342,283.86,30,98,1.7,CN,1619288440
98,Puerto Ayora,-90.3518,-0.7393,300.15,74,75,7.2,EC,1619288771
99,Ternate,127.4,0.8,300.83,78,55,2.73,ID,1619288441
100,Leh,77.5833,34.1667,270.93,28,2,1.35,IN,1619288278
101,Kupang,123.5833,-10.1667,297.6,86,6,3.72,ID,1619288443
102,Turinsk,63.696,58.0458,280.02,54,100,4.06,RU,1619288443
103,Patiāla,76.4003,30.3267,296.99,24,0,2.98,IN,1619288444
104,Gorom-Gorom,-0.2361,14.4439,310.97,5,5,3.33,BF,1619288444
105,Bara,10.7288,10.3744,306.97,34,92,5.19,NG,1619288445
106,Nipawin,-104.0009,53.3668,273.15,51,75,2.57,CA,1619288445
107,Wilmington,-77.9447,34.2257,294.82,52,40,6.69,US,1619288446
108,Ţahţā,31.5021,26.7693,303.15,16,0,7.2,EG,1619288446
109,Raudeberg,5.1352,61.9875,277.04,71,83,7.59,NO,1619288447
110,Brae,-1.353,60.3964,280.15,76,62,3.6,GB,1619288447
111,Ancud,-73.8203,-41.8697,289.82,72,75,5.14,CL,1619288448
112,Sørland,12.6934,67.667,276.2,56,86,9.31,NO,1619288448
113,Chui,-53.4616,-33.6971,295.27,69,100,3.22,UY,1619288449
114,Pak Phanang,100.202,8.3511,299.84,79,98,4.88,TH,1619288777
115,East London,27.9116,-33.0153,291.15,88,0,2.57,ZA,1619288777
116,Hasaki,140.8333,35.7333,281.15,100,20,1.54,JP,1619288450
117,Alofi,-169.9187,-19.0595,295.15,100,69,0.51,NU,1619288451
118,Margate,1.3862,51.3813,281.48,71,45,2.24,GB,1619288451
119,Lorengau,147.2712,-2.0226,300.14,77,69,1.67,PG,1619288452
120,Santa Lucía,-15.5407,27.9117,295.15,64,75,1.03,ES,1619288779
121,Saskylakh,114.0833,71.9167,273.38,92,100,5.67,RU,1619288452
122,Etah,78.6667,27.6333,299.92,17,40,2.99,IN,1619288453
123,Yarensk,49.0916,62.1675,280.45,77,76,2.83,RU,1619288453
124,Longyearbyen,15.6401,78.2186,270.15,63,75,2.06,SJ,1619288454
125,Vidalia,-82.4135,32.2177,292.15,88,90,4.63,US,1619288454
126,Batemans Bay,150.1833,-35.7167,284.26,90,74,1.34,AU,1619288625
127,New Norfolk,147.0587,-42.7826,282.59,84,99,1.3,AU,1619288536
128,Ilulissat,-51.1,69.2167,278.15,60,40,1.54,GL,1619288202
129,Norman Wells,-126.8329,65.282,274.15,47,75,2.57,CA,1619288782
130,Davila,120.5763,18.4726,295.15,88,20,1.54,PH,1619288456
131,Gliwice,18.6766,50.2976,283.71,50,100,2.24,PL,1619288457
132,Salalah,54.0924,17.0151,301.09,75,27,3.12,OM,1619288457
